Gray codes for n = 10 bit
i	 	p		B
960	-	7	-	1 0 0 0 1 0 0 0 0 0 
961	-	1	-	1 0 0 0 1 0 0 0 0 1 
962	-	2	-	1 0 0 0 1 0 0 0 1 1 
963	-	1	-	1 0 0 0 1 0 0 0 1 0 
964	-	3	-	1 0 0 0 1 0 0 1 1 0 
965	-	1	-	1 0 0 0 1 0 0 1 1 1 
966	-	2	-	1 0 0 0 1 0 0 1 0 1 
967	-	1	-	1 0 0 0 1 0 0 1 0 0 
968	-	4	-	1 0 0 0 1 0 1 1 0 0 
969	-	1	-	1 0 0 0 1 0 1 1 0 1 
970	-	2	-	1 0 0 0 1 0 1 1 1 1 
971	-	1	-	1 0 0 0 1 0 1 1 1 0 
972	-	3	-	1 0 0 0 1 0 1 0 1 0 
973	-	1	-	1 0 0 0 1 0 1 0 1 1 
974	-	2	-	1 0 0 0 1 0 1 0 0 1 
975	-	1	-	1 0 0 0 1 0 1 0 0 0 
976	-	5	-	1 0 0 0 1 1 1 0 0 0 
977	-	1	-	1 0 0 0 1 1 1 0 0 1 
978	-	2	-	1 0 0 0 1 1 1 0 1 1 
979	-	1	-	1 0 0 0 1 1 1 0 1 0 
980	-	3	-	1 0 0 0 1 1 1 1 1 0 
981	-	1	-	1 0 0 0 1 1 1 1 1 1 
982	-	2	-	1 0 0 0 1 1 1 1 0 1 
983	-	1	-	1 0 0 0 1 1 1 1 0 0 
984	-	4	-	1 0 0 0 1 1 0 1 0 0 
985	-	1	-	1 0 0 0 1 1 0 1 0 1 
986	-	2	-	1 0 0 0 1 1 0 1 1 1 
987	-	1	-	1 0 0 0 1 1 0 1 1 0 
988	-	3	-	1 0 0 0 1 1 0 0 1 0 
989	-	1	-	1 0 0 0 1 1 0 0 1 1 
990	-	2	-	1 0 0 0 1 1 0 0 0 1 
991	-	1	-	1 0 0 0 1 1 0 0 0 0 
992	-	6	-	1 0 0 0 0 1 0 0 0 0 
993	-	1	-	1 0 0 0 0 1 0 0 0 1 
994	-	2	-	1 0 0 0 0 1 0 0 1 1 
995	-	1	-	1 0 0 0 0 1 0 0 1 0 
996	-	3	-	1 0 0 0 0 1 0 1 1 0 
997	-	1	-	1 0 0 0 0 1 0 1 1 1 
998	-	2	-	1 0 0 0 0 1 0 1 0 1 
999	-	1	-	1 0 0 0 0 1 0 1 0 0 
1000	-	4	-	1 0 0 0 0 1 1 1 0 0 
1001	-	1	-	1 0 0 0 0 1 1 1 0 1 
1002	-	2	-	1 0 0 0 0 1 1 1 1 1 
1003	-	1	-	1 0 0 0 0 1 1 1 1 0 
1004	-	3	-	1 0 0 0 0 1 1 0 1 0 
1005	-	1	-	1 0 0 0 0 1 1 0 1 1 
1006	-	2	-	1 0 0 0 0 1 1 0 0 1 
1007	-	1	-	1 0 0 0 0 1 1 0 0 0 
1008	-	5	-	1 0 0 0 0 0 1 0 0 0 
1009	-	1	-	1 0 0 0 0 0 1 0 0 1 
1010	-	2	-	1 0 0 0 0 0 1 0 1 1 
1011	-	1	-	1 0 0 0 0 0 1 0 1 0 
1012	-	3	-	1 0 0 0 0 0 1 1 1 0 
1013	-	1	-	1 0 0 0 0 0 1 1 1 1 
1014	-	2	-	1 0 0 0 0 0 1 1 0 1 
1015	-	1	-	1 0 0 0 0 0 1 1 0 0 
1016	-	4	-	1 0 0 0 0 0 0 1 0 0 
1017	-	1	-	1 0 0 0 0 0 0 1 0 1 
1018	-	2	-	1 0 0 0 0 0 0 1 1 1 
1019	-	1	-	1 0 0 0 0 0 0 1 1 0 
1020	-	3	-	1 0 0 0 0 0 0 0 1 0 
1021	-	1	-	1 0 0 0 0 0 0 0 1 1 
1022	-	2	-	1 0 0 0 0 0 0 0 0 1 
1023	-	1	-	1 0 0 0 0 0 0 0 0 0 
