Gray codes for n = 10 bit
i	 	p		B
255	-	1	-	0 0 1 0 0 0 0 0 0 0 
256	-	9	-	0 1 1 0 0 0 0 0 0 0 
257	-	1	-	0 1 1 0 0 0 0 0 0 1 
258	-	2	-	0 1 1 0 0 0 0 0 1 1 
259	-	1	-	0 1 1 0 0 0 0 0 1 0 
260	-	3	-	0 1 1 0 0 0 0 1 1 0 
261	-	1	-	0 1 1 0 0 0 0 1 1 1 
262	-	2	-	0 1 1 0 0 0 0 1 0 1 
263	-	1	-	0 1 1 0 0 0 0 1 0 0 
264	-	4	-	0 1 1 0 0 0 1 1 0 0 
265	-	1	-	0 1 1 0 0 0 1 1 0 1 
266	-	2	-	0 1 1 0 0 0 1 1 1 1 
267	-	1	-	0 1 1 0 0 0 1 1 1 0 
268	-	3	-	0 1 1 0 0 0 1 0 1 0 
269	-	1	-	0 1 1 0 0 0 1 0 1 1 
270	-	2	-	0 1 1 0 0 0 1 0 0 1 
271	-	1	-	0 1 1 0 0 0 1 0 0 0 
272	-	5	-	0 1 1 0 0 1 1 0 0 0 
273	-	1	-	0 1 1 0 0 1 1 0 0 1 
274	-	2	-	0 1 1 0 0 1 1 0 1 1 
275	-	1	-	0 1 1 0 0 1 1 0 1 0 
276	-	3	-	0 1 1 0 0 1 1 1 1 0 
277	-	1	-	0 1 1 0 0 1 1 1 1 1 
278	-	2	-	0 1 1 0 0 1 1 1 0 1 
279	-	1	-	0 1 1 0 0 1 1 1 0 0 
280	-	4	-	0 1 1 0 0 1 0 1 0 0 
281	-	1	-	0 1 1 0 0 1 0 1 0 1 
282	-	2	-	0 1 1 0 0 1 0 1 1 1 
283	-	1	-	0 1 1 0 0 1 0 1 1 0 
284	-	3	-	0 1 1 0 0 1 0 0 1 0 
285	-	1	-	0 1 1 0 0 1 0 0 1 1 
286	-	2	-	0 1 1 0 0 1 0 0 0 1 
287	-	1	-	0 1 1 0 0 1 0 0 0 0 
288	-	6	-	0 1 1 0 1 1 0 0 0 0 
289	-	1	-	0 1 1 0 1 1 0 0 0 1 
290	-	2	-	0 1 1 0 1 1 0 0 1 1 
291	-	1	-	0 1 1 0 1 1 0 0 1 0 
292	-	3	-	0 1 1 0 1 1 0 1 1 0 
293	-	1	-	0 1 1 0 1 1 0 1 1 1 
294	-	2	-	0 1 1 0 1 1 0 1 0 1 
295	-	1	-	0 1 1 0 1 1 0 1 0 0 
296	-	4	-	0 1 1 0 1 1 1 1 0 0 
297	-	1	-	0 1 1 0 1 1 1 1 0 1 
298	-	2	-	0 1 1 0 1 1 1 1 1 1 
299	-	1	-	0 1 1 0 1 1 1 1 1 0 
300	-	3	-	0 1 1 0 1 1 1 0 1 0 
301	-	1	-	0 1 1 0 1 1 1 0 1 1 
302	-	2	-	0 1 1 0 1 1 1 0 0 1 
303	-	1	-	0 1 1 0 1 1 1 0 0 0 
304	-	5	-	0 1 1 0 1 0 1 0 0 0 
305	-	1	-	0 1 1 0 1 0 1 0 0 1 
306	-	2	-	0 1 1 0 1 0 1 0 1 1 
307	-	1	-	0 1 1 0 1 0 1 0 1 0 
308	-	3	-	0 1 1 0 1 0 1 1 1 0 
309	-	1	-	0 1 1 0 1 0 1 1 1 1 
310	-	2	-	0 1 1 0 1 0 1 1 0 1 
311	-	1	-	0 1 1 0 1 0 1 1 0 0 
312	-	4	-	0 1 1 0 1 0 0 1 0 0 
313	-	1	-	0 1 1 0 1 0 0 1 0 1 
314	-	2	-	0 1 1 0 1 0 0 1 1 1 
315	-	1	-	0 1 1 0 1 0 0 1 1 0 
316	-	3	-	0 1 1 0 1 0 0 0 1 0 
317	-	1	-	0 1 1 0 1 0 0 0 1 1 
318	-	2	-	0 1 1 0 1 0 0 0 0 1 
319	-	1	-	0 1 1 0 1 0 0 0 0 0 
320	-	7	-	0 1 1 1 1 0 0 0 0 0 
321	-	1	-	0 1 1 1 1 0 0 0 0 1 
322	-	2	-	0 1 1 1 1 0 0 0 1 1 
323	-	1	-	0 1 1 1 1 0 0 0 1 0 
324	-	3	-	0 1 1 1 1 0 0 1 1 0 
325	-	1	-	0 1 1 1 1 0 0 1 1 1 
326	-	2	-	0 1 1 1 1 0 0 1 0 1 
327	-	1	-	0 1 1 1 1 0 0 1 0 0 
328	-	4	-	0 1 1 1 1 0 1 1 0 0 
329	-	1	-	0 1 1 1 1 0 1 1 0 1 
330	-	2	-	0 1 1 1 1 0 1 1 1 1 
331	-	1	-	0 1 1 1 1 0 1 1 1 0 
332	-	3	-	0 1 1 1 1 0 1 0 1 0 
333	-	1	-	0 1 1 1 1 0 1 0 1 1 
334	-	2	-	0 1 1 1 1 0 1 0 0 1 
335	-	1	-	0 1 1 1 1 0 1 0 0 0 
336	-	5	-	0 1 1 1 1 1 1 0 0 0 
337	-	1	-	0 1 1 1 1 1 1 0 0 1 
338	-	2	-	0 1 1 1 1 1 1 0 1 1 
339	-	1	-	0 1 1 1 1 1 1 0 1 0 
340	-	3	-	0 1 1 1 1 1 1 1 1 0 
341	-	1	-	0 1 1 1 1 1 1 1 1 1 
342	-	2	-	0 1 1 1 1 1 1 1 0 1 
343	-	1	-	0 1 1 1 1 1 1 1 0 0 
344	-	4	-	0 1 1 1 1 1 0 1 0 0 
345	-	1	-	0 1 1 1 1 1 0 1 0 1 
346	-	2	-	0 1 1 1 1 1 0 1 1 1 
347	-	1	-	0 1 1 1 1 1 0 1 1 0 
348	-	3	-	0 1 1 1 1 1 0 0 1 0 
349	-	1	-	0 1 1 1 1 1 0 0 1 1 
350	-	2	-	0 1 1 1 1 1 0 0 0 1 
351	-	1	-	0 1 1 1 1 1 0 0 0 0 
352	-	6	-	0 1 1 1 0 1 0 0 0 0 
353	-	1	-	0 1 1 1 0 1 0 0 0 1 
354	-	2	-	0 1 1 1 0 1 0 0 1 1 
355	-	1	-	0 1 1 1 0 1 0 0 1 0 
